# of page in ram seg,# of page in disk seg,page size in bytes,tlb,tlb Size,TLB Replacement (CLOCK or FIFO),Page Table Replacement (CLOCK or FIFO),,,Simple sequence of reads to illustrate page translation
8,16,4096,TRUE,4,CLOCK,CLOCK,,,
instru,addr (in hex),SkipTil,,,,,,,
r,100E,,,,,,,,
r,6004,,,,,,,,
r,3000,,,,,,,,
r,E138,,,,,,,,
r,6008,,,,,,,,
r,AA20,,,,,,,,
r,E800,,,,,,,,
r,3030,,,,,,,,
r,AA24,,,,,,,,
r,3004,,,,,,,,
r,6008,,,,,,,,
w,3000,,,,,,,,
w,AA24,,,,,,,,
w,E838,,,,,,,,
w,6008,,,,,,,,
r,1008,here,,,,,,,
