ram size  pages,virtual address size in pages,# of page in ram seg,# of page in disk seg,page size in bytes,tlb,tlb Size,TLB Replacement (CLOCK or FIFO),Page Table Replacement (CLOCK or FIFO),Demonstration of page replacement using CLOCK algorithm
8,16,8,16,4096,FALSE,4,CLOCK,FIFO,
instru,addr (in hex),SkipTil,,,,,,,
r,100E,,,,,,,,
r,6004,,,,,,,,
r,3000,,,,,,,,
r,1138,,,,,,,,
r,2020,,,,,,,,
r,561C,,,,,,,,
r,1044,,,,,,,,
r,1048,,,,,,,,
r,6124,,,,,,,,
r,3FF3,,,,,,,,
r,3FF8,,,,,,,,
r,3FFC,,,,,,,,
r,4000,,,,,,,,
r,4004,,,,,,,,
r,A100,,,,,,,,
r,EFCC,,,,,,,,
r,7010,here,,,,,,,
r,2020,,,,,,,,
