ram size  pages,virtual address size in pages,# of page in ram seg,# of page in disk seg,page size in bytes,tlb,tlb Size,TLB Replacement (CLOCK or FIFO),Page Table Replacement (CLOCK or FIFO),Simple sequence of reads to illustrate page translation
8,16,8,16,4096,TRUE,4,CLOCK,CLOCK,
instru,addr (in hex),SkipTil,,,,,,,
r,100E,,,,,,,,
r,6004,,,,,,,,
r,3000,,,,,,,,
r,1138,,,,,,,,
r,2020,,,,,,,,
r,561C,,,,,,,,
r,1044,here,,,,,,,
r,262C,,,,,,,,
r,6124,,,,,,,,
r,3FF3,,,,,,,,
r,3FF8,,,,,,,,
r,3FFC,here,,,,,,,
r,4000,,,,,,,,
r,4004,,,,,,,,
